no	synset_id	name	description	synonyms	synonyms_extra
46	n02954340	cap	a tight-fitting headdress	hat	
47	n02958343	car	a motor vehicle with four wheels; usually propelled by an internal combustion engine	Lincoln, automobile, motor car, luxury car, luxury automobile	
48	n12937678	carrot	deep orange edible root of the cultivated carrot plant		
49	n02121620	cat	feline mammal usually having thick soft fur and no ability to roar: domestic cats; wildcats		
50	n02309337	caterpillar	a wormlike and often brightly colored and hairy or spiny larva of a butterfly or moth	centipede, snail, worm, inchworm	
51	n07730406	celery	stalks eaten raw or cooked or used as seasoning	lettuce, staff of celery, celery stalk	
52	n02999410	chain	a series of (usually metal) rings or links fitted into one another to make a flexible ligament	chain links	
53	n03001627	chair	a seat for one person,  with a support for the back		
54	n07757132	cherry	a red fruit with a single hard stone	peach, grape, plum	
55	n01791625	chicken	a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl	hen, turkey, rooster, bird	
56	n03020692	chisel	an edge tool with a flat steel blade with a cutting edge	screwdriver, tool, scraper, wedge, awl, wood chisel, file, knife	
57	n03028079	church	a place for public (especially Christian) worship	chapel, church house	
58	n03030035	cigar	a roll of tobacco for smoking		
59	n03030663	cigarette	finely ground tobacco wrapped in paper; for smoking	burning cigarette	
60	n03046257	clock	a timepiece that shows the time of day	mantle clock	
61	n03051249	clothespin	wood or plastic fastener; for holding clothes on a clothesline	clothes clip, clip, clothes holder	
62	n09247410	cloud	a visible mass of water or ice particles suspended at a considerable altitude	bushes	
63	n09930876	clown	a person who amuses others by ridiculous behavior	clown face	
64	n03057021	coat	an outer garment that has sleeves and covers the body from shoulder down; worn outdoors	overcoat, jacket	
65	n03074855	comb	a flat device with narrow pointed teeth on one edge; disentangles or arranges hair	haircomb, pocket comb	
66	n07731952	corn	ears of corn that can be prepared and served for human food	ear of corn, corn on a cob	
67	n04256520	couch	an upholstered seat for more than one person	sofa	
68	n02403454	cow	female of domestic cattle: "`moo-cow' is a child's term"	bull, female cow	
69	n03138669	crown	an ornamental jeweled headdress signifying sovereignty		
70	n03147509	cup	a small open container usually used for drinking; usually has a handle	coffee cup, teacup	
71	n02430045	deer	distinguished from Bovidae by the male's having solid deciduous antlers	antelope, reindeer, elk, ram, buck, stag	
72	n03179701	desk	a piece of furniture with a writing surface and usually drawers or other compartments	bench, office desk	
73	n02084071	dog	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds		
74	n03219135	doll	a small replica of a person; used as a toy	baby, little girl, female doll, child, baby doll	
75	n02389559	donkey	domestic beast of burden descended from the African wild ass; patient but stubborn	mule, pony, burro, jackass	
76	n03221720	door	a swinging or sliding barrier that will close the entrance to a room or building or vehicle	wooden door	
77	n03222959	doorknob	a knob used to release the catch when opening a door (often called `doorhandle' in Great Britain)	knob	doorhandle
78	n03236735	dress	a one-piece garment for a woman; has skirt and bodice		
79	n03015254	dresser	furniture with drawers for keeping clothes	bureau, chest of drawers, chest, drawers, dresser drawers, bureau drawers, desk	
80	n03249569	drum	a musical percussion instrument; usually consists of a hollow cylinder with a membrane stretched across each end		
81	n01846331	duck	small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs	goose	
82	n01613294	eagle	any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight	bird, hawk, bald eagle, parrot	
83	n05323889	ear	the externally visible cartilaginous structure of the external ear	right ear	
84	n02503517	elephant	five-toed pachyderm		
85	n03291819	envelope	a flat (usually rectangular) container for a letter,  thin package,  etc.	sealed envelope	
86	n05311054	eye	the organ of sight	eyeball	
87	n03327234	fence	a barrier that serves to enclose an area	picket fence, gate	
88	n05566504	finger	any of the terminal members of the hand (sometimes excepting the thumb)	index finger, right index finger, pointing finger, pointer, forefinger	
89	n02512053	fish	any of various mostly cold-blooded aquatic vertebrates usually having scales and breathing through gills		
90	n06875094	flag	a rectangular piece of fabric used as a signalling device	flag and staff, flag pole	
91	n11669921	flower	a plant cultivated for its blooms or blossoms	rose, marigold, daisy	
92	n03372029	flute	a high-pitched woodwind instrument; a slender tube closed at one end with finger holes on one end and an opening near the closed end across which the breath is blown	clarinet, coronet, windpipe	
93	n02190166	fly	two-winged insects characterized by active flight	bug, bee, insect, wasp, spider	
94	n05563266	foot	the part of the leg of a human being below the ankle joint	left foot	
95	n03378765	football	the inflated oblong ball used in playing American football		
96	n03379051	football helmet	a padded helmet with a face mask to protect the head of football players	helmet	
97	n03383948	fork	cutlery used for serving and eating food		
98	n02118333	fox	alert carnivorous mammal with pointed muzzle and ears and a bushy tail; most are predators that do not hunt in packs	wolf, dog, coyote, hound dog	
99	n03394916	French horn	a brass musical instrument consisting of a conical tube that is coiled into a spiral and played by means of valves	tuba, horn, trumpet, trombone, coronet	
100	n01639765	frog	any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species		
101	n03400231	frying pan	a pan used for frying foods	pan, fry pan	
102	n02747177	garbage can	a bin that holds rubbish until it is collected	trash can, waste can, garbage pail, garbage	
103	n02439033	giraffe	tallest living quadruped; having a spotted coat and small horns and very long neck and legs; of savannahs of tropical Africa	ostrich, zebra	
104	n03438257	glass	a container for holding liquids while drinking	cup	
105	n04272054	glasses	optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision	eve glasses, wire-rim glasses	
106	n03441112	glove	handwear: covers the hand and wrist	right glove	
107	n02416519	goat	any of numerous agile ruminants related to sheep but having a beard and straight horns	billy goat, mule, horse, donkey	
108	n02480855	gorilla	largest anthropoid ape; terrestrial and vegetarian; of forests of central west Africa	ape	
109	n07758680	grapes	any of various juicy fruit of the genus Vitis with green or purple skins; grow in clusters	bunch of grapes	
110	n02226429	grasshopper	terrestrial plant-eating insect with hind legs adapted for leaping	bug, cricket, spider, bee, hornet, cicada	
111	n03467517	guitar	a stringed instrument usually having six strings; played by strumming or plucking	acoustic guitar	
112	n03467984	gun	a weapon that discharges a missile at high velocity (especially from a metal tube or barrel)	pistol, revolver	
113	n05254795	hair	a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss	straight hair, women's hair style, hair style, head of hair	
114	n03481172	hammer	a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking		
115	n05564590	hand	the (prehensile) extremity of the superior limb	right hand, fingers	
116	n03490884	hanger	anything from which something can be hung	clothes hanger, coat hanger	
117	n03495258	harp	a chordophone that has a triangular frame consisting of a sounding board and a pillar and a curved neck; the strings stretched between the neck and the soundbox are plucked with the fingers		
118	n03497657	hat	headdress that protects the head from bad weather; has shaped crown and usually a brim	felt hat	
119	n13865904	heart	a plane figure with rounded sides curving inward at the top and intersecting at the bottom; conventionally used on playing cards and valentines		
120	n03512147	helicopter	an aircraft without wings that obtains its lift from the rotation of overhead blades	plane, copter	
121	n02374451	horse	solid-hoofed herbivorous quadruped domesticated since prehistoric times		
122	n03544360	house	a dwelling that serves as living quarters for one or more families	cottage, private house	
123	n03584829	iron	home appliance consisting of a flat metal base that is heated and used to smooth cloth	cloth iron, steam iron	
124	n03586090	ironing board	narrow padded board on collapsible supports; used for ironing clothes	iron board, ironing table	
125	n03589791	jacket	a short coat	shirt, coat, sport jacket	
126	n01877134	kangaroo	any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail		
127	n03612814	kettle	a metal pot for stewing or boiling; usually has a lid	tea kettle, teapot, pot	
128	n03613294	key	metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated		
129	n03621473	kite	plaything consisting of a light frame covered with tissue paper; flown in wind at end of a string		
130	n03623556	knife	edge tool used as a cutting instrument; has a pointed blade with a sharp edge and a handle	eating knife, butter knife, table knife	
131	n03632277	ladder	steps consisting of two parallel members connected by rungs; for climbing up or down	part of a ladder	
132	n03636649	lamp	a piece of furniture holding one or more electric light bulbs	table lamp, lamp & shade	
133	n13152742	leaf	the main organ of photosynthesis and transpiration in higher plants	maple leaf, oak leaf	
134	n05560787	leg	a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle	knee, right leg, knee to foot, foot, calf	
135	n07749582	lemon	yellow oval fruit with juicy acidic flesh		
136	n02128385	leopard	large feline of African and Asian forests usually having a tawny coat with black spots	tiger, panther, jaguar, checqwa	
137	n07723559	lettuce	leaves of any of various plants of Lactuca sativa	cabbage, cauliflower, celery, head of lettuce	
138	n03665924	light bulb	electric lamp consisting of a transparent or translucent glass housing containing a wire filament (usually tungsten) that emits light when heated by electricity	bulb, incandescent light bulb	
139	n04372370	light switch	control consisting of a mechanical or electrical or electronic device for making or breaking or changing the connections in a circuit	switch	
140	n02129165	lion	large gregarious predatory feline of Africa and India having a tawny coat with a shaggy mane in the male	male lion	
141	n05305806	lips	either of two fleshy folds of tissue that surround the mouth and play a role in speaking	mouth, pair of lips	
142	n01982650	lobster	any of several edible marine crustaceans of the families Homaridae and Nephropsidae and Palinuridae	crab	
