subjid,font,letter,label,user_label
fonts_02,hymmnos,d,4,4
fonts_02,hymmnos,e,4,4
fonts_02,hymmnos,f,4,4
fonts_02,ulog,a,5,5
fonts_02,ulog,b,5,5
fonts_02,ulog,c,5,5
fonts_02,ulog,d,5,5
fonts_02,ulog,e,5,5
fonts_02,ulog,f,5,5
fonts_03,arc,a,0,0
fonts_03,arc,b,0,0
fonts_03,arc,c,0,0
fonts_03,arc,d,0,0
fonts_03,arc,e,0,0
fonts_03,arc,f,0,2
fonts_03,atl,a,1,0
fonts_03,atl,b,1,1
fonts_03,atl,c,1,1
fonts_03,atl,d,1,1
fonts_03,atl,e,1,0
fonts_03,atl,f,1,1
fonts_03,dragon,a,2,2
fonts_03,dragon,b,2,2
fonts_03,dragon,c,2,2
fonts_03,dragon,d,2,2
fonts_03,dragon,e,2,2
fonts_03,dragon,f,2,2
fonts_03,futurama,a,3,3
fonts_03,futurama,b,3,2
fonts_03,futurama,c,3,3
fonts_03,futurama,d,3,3
fonts_03,futurama,e,3,3
fonts_03,futurama,f,3,3
fonts_03,hymmnos,a,4,4
fonts_03,hymmnos,b,4,3
fonts_03,hymmnos,c,4,4
fonts_03,hymmnos,d,4,4
fonts_03,hymmnos,e,4,4
fonts_03,hymmnos,f,4,4
fonts_03,ulog,a,5,5
fonts_03,ulog,b,5,5
fonts_03,ulog,c,5,5
fonts_03,ulog,d,5,5
fonts_03,ulog,e,5,5
fonts_03,ulog,f,5,5
fonts_04,arc,a,0,0
fonts_04,arc,b,0,0
fonts_04,arc,c,0,0
fonts_04,arc,d,0,0
fonts_04,arc,e,0,0
fonts_04,arc,f,0,3
fonts_04,atl,a,1,0
fonts_04,atl,b,1,1
fonts_04,atl,c,1,1
fonts_04,atl,d,1,1
fonts_04,atl,e,1,0
fonts_04,atl,f,1,1
fonts_04,dragon,a,2,2
fonts_04,dragon,b,2,2
fonts_04,dragon,c,2,2
fonts_04,dragon,d,2,2
fonts_04,dragon,e,2,2
fonts_04,dragon,f,2,2
fonts_04,futurama,a,3,3
fonts_04,futurama,b,3,3
fonts_04,futurama,c,3,3
fonts_04,futurama,d,3,0
fonts_04,futurama,e,3,3
fonts_04,futurama,f,3,0
fonts_04,hymmnos,a,4,4
fonts_04,hymmnos,b,4,4
fonts_04,hymmnos,c,4,4
fonts_04,hymmnos,d,4,4
fonts_04,hymmnos,e,4,4
fonts_04,hymmnos,f,4,4
fonts_04,ulog,a,5,5
fonts_04,ulog,b,5,5
fonts_04,ulog,c,5,5
fonts_04,ulog,d,5,5
fonts_04,ulog,e,5,5
fonts_04,ulog,f,5,5
fonts_05,arc,a,0,0
fonts_05,arc,b,0,0
fonts_05,arc,c,0,0
fonts_05,arc,d,0,0
fonts_05,arc,e,0,0
fonts_05,arc,f,0,2
fonts_05,atl,a,1,0
fonts_05,atl,b,1,1
fonts_05,atl,c,1,1
fonts_05,atl,d,1,1
fonts_05,atl,e,1,0
fonts_05,atl,f,1,1
fonts_05,dragon,a,2,2
fonts_05,dragon,b,2,2
fonts_05,dragon,c,2,2
fonts_05,dragon,d,2,2
fonts_05,dragon,e,2,2
fonts_05,dragon,f,2,2
fonts_05,futurama,a,3,3
fonts_05,futurama,b,3,2
fonts_05,futurama,c,3,3
fonts_05,futurama,d,3,3
fonts_05,futurama,e,3,3
fonts_05,futurama,f,3,3
fonts_05,hymmnos,a,4,4
fonts_05,hymmnos,b,4,3
fonts_05,hymmnos,c,4,4
fonts_05,hymmnos,d,4,4
fonts_05,hymmnos,e,4,4
fonts_05,hymmnos,f,4,4
fonts_05,ulog,a,5,5
fonts_05,ulog,b,5,5
fonts_05,ulog,c,5,5
fonts_05,ulog,d,5,5
fonts_05,ulog,e,5,5
fonts_05,ulog,f,5,5
fonts_06,arc,a,0,0
fonts_06,arc,b,0,0
fonts_06,arc,c,0,0
fonts_06,arc,d,0,0
fonts_06,arc,e,0,0
fonts_06,arc,f,0,0
